Date,close,prediction,confidence,predicted_return,signal,position_size
2024-12-24,258.20001220703125,0,0.043564066,-0.03,HOLD,0.0
2024-12-26,259.0199890136719,0,0.06880459,-0.03,HOLD,0.0
2024-12-27,255.58999633789062,0,0.05159847,-0.03,HOLD,0.0
2024-12-30,252.1999969482422,0,0.125118,-0.03,HOLD,0.0
2024-12-31,250.4199981689453,0,0.18063886,-0.03,HOLD,0.0
2025-01-02,243.85000610351562,0,0.23721619,-0.03,HOLD,0.0
2025-01-03,243.36000061035156,0,0.31640664,-0.03,HOLD,0.0
2025-01-06,245.0,0,0.063494295,-0.03,HOLD,0.0
2025-01-07,242.2100067138672,0,0.386146,-0.03,HOLD,0.0
2025-01-08,242.6999969482422,0,0.2813852,-0.03,HOLD,0.0
2025-01-10,236.85000610351562,1,0.6746803,0.03,BUY,0.005240408778190613
2025-01-13,234.39999389648438,1,0.68345106,0.03,BUY,0.005503531694412232
2025-01-14,233.27999877929688,1,0.8215769,0.03,BUY,0.00964730679988861
2025-01-15,237.8699951171875,1,0.51425123,0.03,HOLD,0.0
2025-01-16,228.25999450683594,1,0.9421583,0.03,BUY,0.013264748454093932
2025-01-17,229.97999572753906,1,0.90694183,0.03,BUY,0.012208254933357239
2025-01-21,222.63999938964844,1,0.970009,0.03,BUY,0.014100270867347716
2025-01-22,223.8300018310547,1,0.9721994,0.03,BUY,0.014165981411933898
2025-01-23,223.66000366210938,1,0.98571706,0.03,BUY,0.01457151174545288
2025-01-24,222.77999877929688,1,0.993711,0.03,BUY,0.01481132984161377
2025-01-27,229.86000061035156,1,0.948046,0.03,BUY,0.013441380858421325
2025-01-28,238.25999450683594,1,0.91499317,0.03,BUY,0.012449795007705688
2025-01-29,239.36000061035156,1,0.95816004,0.03,BUY,0.01374480128288269
2025-01-30,237.58999633789062,1,0.63590527,0.03,HOLD,0.0
2025-01-31,236.0,1,0.6116859,0.03,HOLD,0.0
2025-02-03,228.00999450683594,1,0.7720129,0.03,BUY,0.008160386681556702
2025-02-04,232.8000030517578,1,0.9373934,0.03,BUY,0.013121802806854247
2025-02-05,232.47000122070312,1,0.8693769,0.03,BUY,0.011081306934356688
2025-02-06,233.22000122070312,1,0.76633257,0.03,BUY,0.00798997700214386
2025-02-07,227.6300048828125,1,0.8398202,0.03,BUY,0.01019460618495941
2025-02-10,227.64999389648438,1,0.70950806,0.03,BUY,0.0062852418422698975
2025-02-11,232.6199951171875,1,0.9367351,0.03,BUY,0.013102052807807922
2025-02-12,236.8699951171875,1,0.689423,0.03,BUY,0.005682690739631653
2025-02-13,241.52999877929688,1,0.6656648,0.03,BUY,0.004969943761825561
2025-02-14,244.60000610351562,1,0.8518856,0.03,BUY,0.010556568503379821
2025-02-18,244.47000122070312,1,0.7964455,0.03,BUY,0.008893364667892456
2025-02-19,244.8699951171875,0,0.4745348,-0.03,HOLD,0.0
2025-02-20,245.8300018310547,1,0.6708243,0.03,BUY,0.005124728679656982
2025-02-21,245.5500030517578,0,0.4956929,-0.03,HOLD,0.0
2025-02-24,247.10000610351562,1,0.54853755,0.03,HOLD,0.0
2025-02-25,247.0399932861328,0,0.36953673,-0.03,HOLD,0.0
2025-02-26,240.36000061035156,0,0.10550434,-0.03,HOLD,0.0
2025-02-27,237.3000030517578,1,0.7015416,0.03,BUY,0.006046248078346252
2025-02-28,241.83999633789062,1,0.67442304,0.03,BUY,0.005232691168785095
2025-03-03,238.02999877929688,0,0.44372392,-0.03,HOLD,0.0
2025-03-04,235.92999267578125,1,0.83479005,0.03,BUY,0.010043701529502869
2025-03-05,235.74000549316406,1,0.6830872,0.03,BUY,0.0054926168918609615
2025-03-06,235.3300018310547,0,0.45657977,-0.03,HOLD,0.0
2025-03-07,239.07000732421875,1,0.5596395,0.03,HOLD,0.0
2025-03-10,227.47999572753906,1,0.58954215,0.03,HOLD,0.0
2025-03-11,220.83999633789062,1,0.95140207,0.03,BUY,0.013542062044143677
2025-03-12,216.97999572753906,1,0.99774796,0.03,BUY,0.014932438731193542
2025-03-13,209.67999267578125,1,0.99474466,0.03,BUY,0.014842339754104613
2025-03-14,213.49000549316406,1,0.99031657,0.03,BUY,0.014709497094154358
2025-03-17,214.0,1,0.99245036,0.03,BUY,0.014773510694503784
2025-03-18,212.69000244140625,1,0.9911776,0.03,BUY,0.014735328555107115
2025-03-19,215.24000549316406,1,0.99382234,0.03,BUY,0.014814670085906981
2025-03-20,214.10000610351562,1,0.9962966,0.03,BUY,0.01488889753818512
2025-03-21,218.27000427246094,1,0.98861784,0.03,BUY,0.0146585351228714
2025-03-24,220.72999572753906,1,0.9833483,0.03,BUY,0.014500449299812316
2025-03-25,223.75,1,0.9951722,0.03,BUY,0.01485516607761383
2025-03-26,221.52999877929688,1,0.98195547,0.03,BUY,0.014458664059638977
2025-03-27,223.85000610351562,1,0.97548354,0.03,BUY,0.014264506101608275
2025-03-28,217.89999389648438,1,0.97828776,0.03,BUY,0.01434863269329071
2025-03-31,222.1300048828125,1,0.9548795,0.03,BUY,0.013646385669708251
2025-04-01,223.19000244140625,1,0.9449442,0.03,BUY,0.013348326086997986
2025-04-02,223.88999938964844,1,0.96450925,0.03,BUY,0.013935277462005615
2025-04-03,203.19000244140625,1,0.98084587,0.03,BUY,0.014425376057624817
2025-04-04,188.3800048828125,1,0.9752753,0.03,BUY,0.01425825834274292
2025-04-07,181.4600067138672,1,0.930519,0.03,BUY,0.0129155695438385
2025-04-08,172.4199981689453,1,0.9217337,0.03,BUY,0.012652010321617125
2025-04-09,198.85000610351562,1,0.6512722,0.03,BUY,0.004538165330886841
2025-04-10,190.4199981689453,1,0.83296126,0.03,BUY,0.009988837838172912
2025-04-11,198.14999389648438,1,0.59539855,0.03,HOLD,0.0
2025-04-14,202.52000427246094,0,0.30263522,-0.03,HOLD,0.0
2025-04-15,202.13999938964844,1,0.5843603,0.03,HOLD,0.0
2025-04-16,194.27000427246094,1,0.68104476,0.03,BUY,0.0054313427209854125
